"","Df","Deviance","Resid. Df","Resid. Dev"
"V299",1,0.0146428062778909,12890,431.781423703267
"V300",1,0.00367572328445931,12889,431.777747979982
"V301",1,0.00263597951084193,12888,431.775112000471
"V302",1,2.57963557714902e-06,12887,431.775109420836
"V303",1,0.00118950669832429,12886,431.773919914137
"V304",1,0.000621993697507151,12885,431.77329792044
"V305",0,0,12885,431.77329792044
"V306",1,0.234716327462934,12884,431.538581592977
"V307",1,0.000206971685656754,12883,431.538374621291
"V308",1,0.00234070488210136,12882,431.536033916409
"V309",1,4.93089591486751e-05,12881,431.53598460745
"V310",1,0.00118969532007895,12880,431.53479491213
"V311",1,0.000815818777766708,12879,431.533979093352
"V312",1,0.00184651931806457,12878,431.532132574034
"V313",1,0.0021591825664018,12877,431.529973391468
"V314",1,0.000285893643422241,12876,431.529687497824
"V315",1,0.103290922980761,12875,431.426396574844
"V316",1,0.00826589599284944,12874,431.418130678851
"V317",1,0.000153035827054282,12873,431.417977643024
"V318",1,0.00112150748367412,12872,431.41685613554
"V319",1,0.00955334457751178,12871,431.407302790963
"V320",1,0.00128450672940517,12870,431.406018284233
"V321",1,0.00088309035356815,12869,431.40513519388
"V322",1,0.00945503051804053,12868,431.395680163362
"V323",0,0,12868,431.395680163362
"V324",1,0.0236444930804396,12867,431.372035670281
"V325",1,0.000880490092356467,12866,431.371155180189
"V326",1,0.00322183013628319,12865,431.367933350052
"V327",1,0.0745984871822998,12864,431.29333486287
"V328",1,0.00104414483934079,12863,431.292290718031
"V329",1,0.00345685814795615,12862,431.288833859883
"V330",1,0.00812777606114423,12861,431.280706083822
"V331",1,7.50139052456689e-05,12860,431.280631069916
"V332",1,0.00168264180371125,12859,431.278948428113
"V333",1,0.0285631558662658,12858,431.250385272246
"V334",1,0.0528624296262024,12857,431.19752284262
"V335",1,0.017562302982185,12856,431.179960539638
"V336",1,0.310113687898706,12855,430.869846851739
"V337",1,0.186720990304423,12854,430.683125861435
"V338",1,0.077950031712362,12853,430.605175829723
